Cocktail,strGlass,strIBA,Ingredients,Preparation,Notes
Sorriso (Adapted),Martini,,"1 oz No.3 London Dry Gin, 1 oz Pear flavored Vodka, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Sherry, 2 dash Bitters",Pour all ingredients in a mixing glass filled with ice. Stir well and strain into a chilled cocktail glass.,"Adapted from Francesco Lafranconi's recipe in the Luxardo cocktail book. He originally called for Luxardo Dry Gin, which we have replaced with No.3 London Dry Gin."
Southside Fizz,N/A,,"2 oz No.3 London Dry Gin, 1 oz Simple syrup, .75 oz Lime juice, 4 leaves Mint leaves,  oz Fever Tree Club Soda",,
Space Age Pop,N/A,,"1 1/2 oz Chinaco Reposado, 1 oz Luxardo Amaro Abano, 1/2 oz Luxardo Maraschino Liqueur, 1/4 oz Fresh Lemon Juice",Serve on one big rock.,
Spanish G&T,Large Balloon Glass,,"1.5 oz Junipero Gin, 2 oz East Imperial Superior Tonic ,   Assorted Complementing Botanicals*","Add Junipero Gin and botanicals first. Add ice and follow with a bold tonic. Top with additional botanicals/garnish for presentation.

*Assorted Complementing Botanicals: Orange, Star Anise, Rose Petals, Italian Juniper",
Speyside Highball,Highball Glass,,"1.5 oz Glenrothes Vintage Reserve, 1 oz Tuaca, .75 oz Lemon Juice, .75 oz Lemon Verbana Simple,  top Soda",,
Speyside Orchard,Collins,,"1 oz Glenrothes Bourbon Reserve, 1.5 oz C. Drouin Pommeau de Normandie, .5 oz Chamomile Tea Syrup*, .75 oz Lemon Juice","Combine all ingredients in a mixing tin. Shake and strain into a collins glass full of crushed ice. Garnish with apple slices.

*Chamomile Tea Syrup: 
-- 2 c water
-- 1 c chamomile flower
-- 1 c sugar
Bring 1 cup water to boil.
Add 1 cup chamomile flower and 1 more cup of water, bring back to a boil.
Add 1 cup sugar, bring to boil. 
Let it rest. When cool, the syrup is ready.",
Spice and Stormy,N/A,,"1.5 oz Pink Pigeon Rum, .5 oz Simple syrup, .5 oz Lemon juice, .5 oz Luxardo Bitter, 1 float Ginger beer, 4 pieces Pineapple, 4 pieces Ginger root","Muddle pineapple and ginger root, lemon juice and simple syrup. Add rum. Shake well, over ice and top with ginger beer and Luxardo Bitter",
Spiced Marmalade,Coupe,,"2 oz Junipero Gin, 1 bsp Orange marmalade, .5 oz Lemon juice, 1 oz Orange juice, .25 oz Simple syrup, 2 dash Orange bitters, 4  Cloves torched & muddled","shake/2strain/coupe

garnish lemon twist",
Spring Cleanse,Chilled Glass,,"1  Half Small Cucumber, 1  Medium Carrot, 1  Green Apple, cored, 3-4  Kale Leaves, 1  Big Handful Spinach Leaves, 1  Small Hunk Ginger, .5-1 oz Pastis Prado","Juice the ingredients and pour into a chilled glass (do not use ice or the drink will lose body).

Top with Pastis Prado or absinthe and garnish with a sprig of mint.",
Spring Fling Sipper,N/A,,"1 oz Junipero Gin, .75 oz King's Ginger Liqueur, 3 oz Fresh Grapefruit Juice, .5 oz Simple Syrup, .25 oz Fresh Lemon Juice, 1 oz Soda Water",,
Spring Forward,Champagne Flute,,"2 oz Old Tom Gin, .5 oz Noilly Prat Ambre Vermouth, .5 oz Pineapple Juice, .5 oz Lime Juice, .25 oz Rich Simple (2:1), .75 float Dry Sparkling Wine","Combine all ingredients, minus the sparkling wine, into a tin. Shake and double strain into a flute glass. Top with a float of sparkling wine. Garnish with an edible flower petal.",
Still Life of a Pineapple,N/A,,"1.5 oz BarSol Primero Quebranta Pisco, .75 oz Dry Vermouth, .5 oz St. Germain, .25 oz Pineapple Syrup*, 1 bsp Vieux Pontarlier Absinthe Francaise Superieure","*Pineapple Syrup:
<em>Equal parts pineapple blended with water and sugar and strained</em>",
Stinger,N/A,,"1 part Tempus Fugit Creme de Menthe Glaciale, 3 part H by HINE",Shake or stir briskly and strain into a cocktail glass.,
Stone Fruit Patch V1,N/A,,"1 oz Luxardo Maraschino Liqueur, .5 oz Peach Puree, .75 oz Lime Juice, 3  Raspberries",Muddle raspberries in mixing glass. Add remainder of ingredients in a mixing glass with fresh ice. Shake vigorously strain over fresh ice. Garnish with raspberry and mint.,
Stone Fruit Patch V2,Coupe,,"1 oz Luxardo Maraschino Liqueur, .5 oz Peach Puree, .75 oz Lime Juice, 3  Raspberries, 1 oz Sparkling Wine",Muddle raspberries in mixing glass. Add remainder of ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a well chilled coupe. Top off with sparkling wine. Garnish with raspberry and mint.,
Stranger in the Alps,Rocks Glass,,"rinse Eau de Vie, 1.5 oz Junipero Gin, 1 oz Carpano Antica, .75 oz Campari, .25 oz Braulio Amaro, 1 pinch Salt","Rinse a rocks glass with eau de vie. Combine remaining ingredients in a shaker with ice. Shake, and strain over fresh ice into a rocks glass. Garnish with a lemon pigtail.",Photo credit: Liquor.com
Strike No.3,Old Fashioned Glass,,"2 oz No.3 London Dry Gin, .5 oz St. Germaine Elderflower Liqueur, .5 oz Orgeat Syrup, .5 oz Fresh Lemon Juice",Shake the ingredients with ice. Strain into an old fashioned glass. Garnish with a Luxardo Cherry.,
Stroll Through the Park,Collins,,"2 oz BarSol Primero Quebranta Pisco, .5 oz Simple Syrup, .5 oz Orange Juice, .5 oz Lemon, 1 bsp El Guapo Tonic Syrup, 4 dash El Guapo Tonic Bitters, 3  Cucumber Slices, 2  Mint Sprig",Muddle mint and cucumber with the simple syrup in a shaker tin. Combine the remainder of the ingredients in the tin. Shake vigorously. Double strain with a fine mesh strainer into a collins glass. Fill with ice and garnish with a cucumber slice.,
Swedish 75,Coupe,,"1 oz Karlsson's Gold Vodka, 1 oz Lemon curd (or a large bar spoon), 1.5 oz Brut Champagne","In a Boston shaker, combine the Karlsson's and the lemon curd with whole hard ice and shake vigorously for 30-40 seconds. Add the champagne to the shaker, stir until mixed well and double strain the cocktail into a 4.5 oz. coupe glass. Garnish the cocktail with a lemon twist making sure to release all the essential oils into the glass. Rub the entire rim with the twist before dropping the twist into the glass.",
Swedish Nightingale,N/A,,"1.5 oz No.3 London Dry Gin, .5 oz Maurin Quina, .25 oz Pineapple Gomme Syrup, 1 bsp Peated Kola Nut Tincture, 2 dash Angostura Bitters",Stir. Strain. Lemon peel garnish.,
Swedish Royal,Coupe,,"2 oz Karlsson's Gold Vodka, 1 oz Apricot brandy, .5 oz Dry vermouth, .5 oz Sweet vermouth",Combine all ingredients in a frozen mixing glass with hard ice and stir for 20 seconds. Strain into a frozen coupe glass.,"Vermouth: Vermouth, like wine goes bad if it has been open for a while. Also it's best to keep it in the refrigerator after it has been open to keep it fresh. Vermouth will last about 3-4 months. There are many producers of vermouth, all varying in style and flavor, so we would recommend trying a couple out and finding which you prefer. It's also fun to taste the difference. This goes for both dry (French) and sweet (Italian). Depending on the type you use, you might want to adjust the quantities used in your cocktail to your liking.

Apricot brandy: There are many brands out there. We like to use the Rothman & Winter. Unlike other fruit liqueurs that can be cloyingly sweet, the Rothman & Winter delivers a sweetness and bouquet expected when enjoying a fresh apricot.

This is a nice cocktail for vodka martini drinkers that want a little twist on their cocktail. It's essentially a perfect martini made with vodka and apricot brandy."
T&T,N/A,,"1.5 oz Chinaco Reposado Tequila, .5 oz Luxardo Aperitivo, 3 oz Fever-Tree Tonic Water",,
Tahitian Fix,Collins,,"2 oz BarSol Selecto Italia Pisco, .75 oz Fresh Lemon Juice, .5 oz Vanilla Agave Nectar, .5 oz Pineapple Gomme Syrup, 1.5 oz Seltzer Water",Shake all ingredients with ice and fine strain into Collins glass. Top with seltzer water and add lavender blossom garnish.,
Tamaulipas Margarita,V-Shaped Rocks Glass,,"2 oz Chinaco Blanco Tequila, 1.5 oz Fresh Lime Juice, 1 oz Agave Nectar","Served in v-shaped rocks glass with ""vintage ice"".
",
Tambourine,Coupe,,"2 oz Karlsson's Gold Vodka, .75 oz Pineapple juice, .5 oz Fresh lime juice, .5 oz Kaffir lime & tamarind compound syrup*","In a Boston shaker, combine all liquid ingredients with cracked ice and shake vigorously for 30 seconds. Double strain into a frozen 4.5 oz. coupe glass. Garnish with 1/2 piece kaffir lime leaf. (Clap the leaf several times before placing on top of the cocktail to release the aromatics.)",
Tea & Sympathy,Mug,,"1 oz Avua Amburana Cachaça, 1 oz King's Ginger Liqueur, .5 oz Fresh Squeezed Lemon Juice, 1 bag Chai Tea","Soak 1 chai tea bag in half mug of hot water for 30 seconds, remove the tea bag, add all the ingredients, add more hot water. 

Lemon wheel stuffed with 4-5 cloves for garnish.",Featured in The King's Ginger Winter Warmer Program OND 2015
Tea Party Cocktail,Coupe,,"1.5 oz No.3 London Dry Gin, .5 oz King's Ginger Liqueur, .5 oz Orange marmalade syrup, .25 oz Lemon juice, 1 oz Bergamot tea foam","Shake all ingredients except foam, strain into chilled cocktail ""coupe"". Layer foam onto cocktail. Add garnish.",
Temple of the Moon,Old Fashioned Glass,,"1 oz Junipero Gin, 1 oz BarSol Primero Quebranta Pisco, 1 oz Amaro Sibilla, .25 oz Simple syrup,  rinse St. George Absinthe, 3 drops Fee Brothers Orange Flower Water","Stir all ingredients except for Absinthe and Orange Flower. Strain over a chunk/sphere of ice in an old fashioned glass. Garnish with a sprig of mint, with 3 drops of Orange Flower.",
Tequila Sunflare,Rocks Glass,,"1.5 oz Chinaco Blanco Tequila, .75 oz Sage-Cilantro-Lime Syrup,  rinse Montanaro Vermouth , 1  Pomegranate Ice Cube",Pre-freeze pomegranate juice into one large cube. Rinse a glass with Montanaro vermouth. Dump any excess out. Build the remainder of spirits and bitters into a shaker tin. Shake vigorously. Strain over the pomegranate ice cube into a rocks glass.,
Tequila Sunrise,Highball glass,,"2 measures Tequila, Orange juice, Grenadine","Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.",
The 42nd Round,N/A,,"1 oz Junipero Gin, 5 oz Compas Box Great King Street Blended Scotch Whisky, 1 oz Byrrh Grand Quinquina, .5 oz Anchor Christmas Ale 2016*, 2 dash Bittercube Corazon Bitters, 2 dash The Bitter Truth Orange Bitters","Mix all ingredients in a mixing glass and stir for 15-20 secs depending on the type of ice. Strain over a large rock and garnish with an orange peel expressing the oils over the cocktail.

*Anchor Christmas Ale 2016 w/ Honey (reduction) 2:1 (2-parts Beer to 1-part Honey)",
The Alpine Mist,Martini,,"2 oz Mezcal, 2 oz Reed's Premium Ginger Brew, 1 tsp Seedless Blackberry Jam, 1  Lime, juiced, 12  Mint Leaves, muddled",Fill a cocktail shaker with ice. Add all ingredients except the garnish and shake well. Stain into a very chilled martini glass (martini glass should have a sugar rim on half of the glass) and top with a splash of ginger beer. Garnish with a mint leaf and orange peel. Right before serving drop in a chip of dry ice for the mist.,"Cocktail created by interior designer contest winner, Tineke Triggs."
The Asterisk,Cocktail Glass,,".75 oz Brandy, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Lemon Juice",Shake until very cold; double strain into a chilled cocktail glass. No garnish.,
The Awen,Rocks Glass,,"1.5 oz Pot still-style Irish Whiskey, .5 oz Luxardo Maraschino Liqueur, 1 oz Cocchi Americano, 1 dash Orange Bitters",Stir ingredients in glass over an ice sphere.,
The Bacchus Cocktail,Coupe,,"5  Concord grapes, 3  Blackberries, 1.5 oz BarSol Primero Quebranta Pisco, 1 oz Crème Yvette, 1 oz Lemon juice, .5 oz Egg white","Place the Concord grapes and blackberries in a shaker and muddle. Add the rest of the ingredients and ice. Shake, and strain into a chilled coupe. Garnish with Concord grapes and lemon peel twisted to release oils.","Published on Liquor.com 10.05.2015 <a href=""http://liquor.com/recipes/the-bacchus/"" target=""_blank"">http://liquor.com/recipes/the-bacchus</a>"
The Big Picture,N/A,,"1.5 oz Tempus Fugit Alessio Vino Chinato, 1.5 oz Fig-Infused C. Drouin Calvados Selection, .5 oz Lemon, .25 oz Simple Syrup",Build in glass. Add crushed ice and swizzle. Top with more crushed ice. Dash pepita tincture on top for aromatics. Garnish with lemon wheel and dried fig.,
The Bitter King,Martini,,"2 oz King's Ginger Liqueur, .75 oz Lemon Juice, .75 oz Simple Syrup","Add all ingredients to a shaker, add ice, shake and strain into a martini glass garnish with a Luxardo Cherry.",
The Bittered Valley,N/A,,"1.25 oz Luxardo Maraschino Liqueur, 4 drops Acid phosphate, 2 oz BarSol Primero Quebranta Pisco, .75 oz Luxardo Amaro Abano, .25 oz Luxardo Fernet, 3 dash Scrappy's Aromatic Bitters","1st glass ingredients:
Luxardo Maraschino, Acid Phosphate

2nd glass ingredients:
BarSol Quebranta Pisco, Luxardo Amaro Abano, Luxardo Fernet, Scrappy's Aromatic Bitters",
The Bossa Nova,Rocks Glass,,"2 oz Chinaco Blanco Tequila, .5 oz Lemon Juice, .5 oz Small Hand Foods Pineapple Gum Syrup, .25 oz Vanilla Syrup*, .5 oz Coconut Cream**, .5 oz Egg White","Combine all ingredients in a shaking tin or mixing glass and vigorously shake without ice for 10 seconds. Add ice, and shake for another 8 seconds. Strain over larger ice cube or into a cocktail glass and add freshly grated cinnamon on top.

*Vanilla Syrup: 
Split 1 vanilla pod lengthwise and scrape interior into a heavy sauce pan. 
Add 2 c. raw sugar and 2 c. water. Bring to a simmer and reduce heat to low. 
Cook for 5 mins and stir occasionally. 
Remove from heat and keep unstrained for 24 hrs. 
Strain through a cheese cloth and bottle. Keeps for 2 weeks.

**Coconut Cream:
Combine 1 part Coco Lopez with 1 part rich coconut milk. Mix well.",
The Boys of Summer Cup,Collins,,"1 oz No.3 London Dry Gin, 1 oz Dolin Rouge Vermouth, .5 oz The Genuine Curacao Liqueur Orange, .5 oz King's Ginger Liqueur, .25 oz Chareau Liqueur, .5 oz Fresh Lemon Juice,  top Fever-Tree Bitter Lemon",Top with Fever-Tree Bitter Lemon. Build in a collins glass full of ice cubes and garnish with a lemon wheel and mint sprig.,
The Brightside,Old Fashioned Glass,,"1.5 oz Pink Pigeon Rum, 2.5 oz Fresh orange juice, 1 Tbsp Luxardo Bitter, 1 dash Milk powder (or cream)","Dry shake, then serve old-fashioned glass with crushed ice. Drizzle Bitter on top to finish.",
The Callas Cocktail,Champagne Flute,,"1 oz Luxardo Bitter Bianco, .75 oz No.3 London Dry Gin, 1 bsp Pomegranate Cordial*, 1.25 oz Brachetto, 1  Sugar Cube, 8 dash Tempus Fugit Abbott's Bitters","Soak cube in 8 dashes Abbott's Bitter. Drop sugar cube into bottom of flute glass. Stir, Luxardo, gin, and pomegranate cordial. Strain into flute glass. Top with Brachetto. Garnish with small rose, dipped in rose flower water.

*Pomegranate Cordial:
-- 48 oz Pomegranate Juice
-- 2.5 lbs White Sugar
-- 1 lb Turbinado Sugar
-- 8 Course Cracked Black Peppercorns
-- 2 Cloves
-- 5 Allspice Berries
-- 1 Tbsp Pomegranate Molasses
-- 1 oz Orange Flower Water

Mix all ingredients together in large saucepan. Stir on medium heat until all sugar is dissolved. Strain of spices. Bottle.",
The Canevari Cocktail,Cocktail Glass,,"1.5 oz Old Tom Gin, 1 oz Cocchi Vermouth di Torino, .5 oz Luxardo Bitter, 3 dash Angostura Bitters","Combine ingredients, stir until well chilled, and strain in to a cocktail glass. Serve with an orange twist.",
The Cappa,Wine Glass,,"1.5 oz Gin, 1.5 oz Pineau des Charentes, .5 oz Luxardo Maraschino Liqueur","Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a small wine or cocktail glass. Twist a slice of lemon peel over the drink and use as garnish.",
The Cavalier White Lady,Martini,,"1 oz Junipero Gin, .75 oz Creole Shrub, .75 oz Lemon juice, .25 oz Lemon bitters, .5 oz Simple syrup, 1  Egg white",Spray of Lemon Verbana oil on the Martini glass. Combine all other ingredients and dry shake for 20 seconds. Add ice to the mixing tin and shake again. Double strain into a Martini glass. Garnish with fresh lemon verbena. Served in a martini.,
The Chief,Coupe,,"1.5 oz Junipero Gin, .75 oz Cocchi Americano, .5 oz Salers Gentiane Aperitif, 2 drops Black Licorice-Infused Angostura Bitters, 1 drop Sea Salt Tincture",Stir the first three ingredients and the sea salt tincture over ice. Strain into a coupe glass and add licorice-infused Angostura Bitters. Garnish with 3 brandied cherries.,Junipero Gin 20th Anniversary Signature Cocktail
The Claridge,N/A,,"2.25 oz Gin, 2.25 oz Dry Vermouth, .75 oz Luxardo Apricot Liqueur, .75 oz Cointreau","Stir, strain, and serve straight up.",
The Cliffdiver,Collins,,"1.25 oz D'aristi 10 YR Rum, .5 oz The Genuine Curacao Liqueur Blue, .25 oz Tempus Fugit Liqueur de Violettes, 1 oz Lime Juice, .5 oz Tahitian Vanilla Bean Syrup, 1 float Ginger Beer, 3 dash Angostura Bitters","Combine rum, curacao, violettes, and lime juice in a shaker, add ice and shake vigorously. Double strain into a chilled collins glass. Add fresh ice in the collins glass and top with chilled ginger beer. Float 2-3 dashes of Angostura Bitters on top and garnish with a grilled pineapple wedge on rim of glass, and two Luxardo Cherries speared through a toothpick, and edible orchid placed on top hanging from the rim.",*Ice: Bar Ice & Vintage Ice
The Commissioner's Trophy #3,Coupe,,"1.5 oz No.3 London Dry Gin, 1 oz Amaro, .5 oz BarSol Perfecto Amor (Aperitif Wine), .5 oz Strawberry shrub",Stir in a mixing glass with ice; strain into a coupe glass; garnish with orange and lemon zest.,
The Double Crown,Egg Coupe,,"1.25 oz Compass Box Great King Street Glasgow Blend, .75 oz Lemon Juice, .5 oz Cyril Zangs Double Zero Eau de Vie de Cidre, .5 oz King's Ginger Liqueur, .5 oz Honey Syrup, 1  Egg White","Shake without ice, add ice and shake again then fine strain into a chilled egg coupe. Garnish with a Sage leaf.",
The Douglas Tilden,Cocktail Glass,,"2 oz Junipero Gin, .5 oz Lacuesta Blanco Vermouth, .25 oz Salers Gentiane Aperitif, 1 bsp Luxardo Maraschino Liqueur, 1 bsp Germain-Robin Absinthe, 2 dash Scrappy’s Lime Bitters","Combine all ingredients in a mixing glass with ice, stir and strain into a chilled cocktail glass. Garnish with a lemon twist and the edible flower of your choice.",Junipero Gin 20th Anniversary Signature Cocktail
The Dry Cruise,N/A,,"1 oz Luxardo Bitter Bianco, 1 oz Lustau Oloroso Sherry, .25 oz St. Germain, .75 oz Lemon Juice, .5 oz Honey Syrup,  top Sparkling Wine",,
The Evil Blue Thing,Old-fashioned glass,,"1 1/2 oz Creme de Cacao,1 oz Blue Curacao,1/2 oz Light rum","Pour ingredients into glass, and drop in a blue whale! The blue whale isn't really necessary, but it makes the drink more ""fun"".",
The Fall 75,Coupe,,"1 oz Junipero Gin, 1 oz Spiced kuri squash purée*, 2 dash Fresh lemon, 2 dash Honey syrup","Shake, strain into coupe glass. Top with sparkling wine and a sprig of lemon balm.","*Spiced kuri squash purée:

Ingredients
1 kuri squash, cubed
1 cinnamon stick
1 tsp cardamom pods
1 tsp coriander seeds
1 tsp juniper
1 tsp black pepper
2 cloves
3 cups water
.5 cup maple syrup

Instructions
Cook everything in saucepan until squash is very soft. Strain through fine mesh sieve, refrigerate. Serve or use it to make the cocktail above.


http://www.washingtonpost.com/express/wp/2014/10/16/the-gin-joints-recipe-for-a-fall-75-cocktail-from-bartender-nicole-hassoun/"
The Fifth Star,N/A,,"1.5 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .5 oz Luxardo Amaretto di Saschira, .5 oz Luxardo Bitter, .5 oz Luxardo Fernet, .25 oz Lustau Dry Olorosso Sherry,  oz La Colombe Cold Draft Coffee",,
The French Connection,Coupe,,"2 oz H by HINE, 1 oz Fresh Lemon Juice, 1 oz Demarara Simple Syrup, 4 dash Apple Bitters","Shake ingredients with ice in shaker and then double strain into a couple glass.
Top with champagne and garnish with lemon and apple slice.",
The Fritz,Rocks Glass,,".75 oz Junipero Gin, .75 oz Luxardo Maraschino Liqueur, .75 oz Peychaud's Bitters, .75 oz Punt e Mes",Stir with ice and strain into a rocks glass. Garnish with an orange twist.,
The Ginger Royale,N/A,,"35 ml King's Ginger Liqueur, 140 ml Champagne",Pour a generous measure of The King's Ginger into a flute. Add chilled Champagne to taste.,
The Great Pumpkin Cocktail,Coupe,,"1 oz Pumpkin-Infused Glenrothes Vintage Reserve*, 1 oz King's Ginger Liqueur, .5 oz Fresh Lemon Juice, .5 oz Grade-A Maple Syrup (prefer McClure's)","Shake over ice and strain into a chilled cocktail coupe. Garnish with a dash of cinnamon.

*Pumpkin-Infused Glenrothes Vintage Reserve:
Peel, clean and cut small 2x2 in. pieces of sugar pumpkin. Salt very lightly and roast for about 20 mins. at 250°F. Put into a sealed container with scotch and let rest for 2 days. Strain off the pumpkin and re-bottle. Keep refrigerated.",
The Greatest Punch on Earth,N/A,,"4 oz Don Cesar Pisco, 1 oz Luxardo Triplum (Triple Sec), 4 oz Apple Cider, 2 oz Oloroso Sherry, 1 oz Sherry Vinegar,   Regans' Orange Bitters,   Angostura Bitters",,
The Happy Place,N/A,,"2 oz Junipero Gin, .75 oz House-made Cranberry Syrup*, .5 oz Lemon Juice, .5 oz Cranberry Juice, .25 oz Lillet Blanc, 4 dash Forgery Earth Day Bitters,  mist Laphroaig","*House-made Cranberry syrup: 
-- 2 cups Fresh Cranberries
-- 1 cup Sugar
-- 1 cup Water
-- 2 Bay Leaves
-- .25 cup Pink Peppercorns
-- Half Serrano Chile
-- 4 Sprigs Fresh Rosemary

Add all ingredients to a pot and heat thoroughly. Simmer on low until cranberries cook down for 25 minutes. Strain and let cool.",Junipero Gin 20th Anniversary Signature Cocktail
The Hollinger Manhattan,Coupe,,"2 oz Rittenhouse Rye, .5 oz Sweet Vermouth, .25 oz Luxardo Maraschino Liqueur, .25 oz Duplais Swiss Absinthe Verte","Stir, strain into an absinthe rinsed coupe. Garnish with Luxardo Cherry.",Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
The House of Duncan,N/A,,"1.5 oz Glenrothes Vintage Reserve, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .25 oz King's Ginger Liqueur, 1 dash Angostura Bitters",Serve on the rocks. Garnish with a Luxardo Cherry.,This is a Rob Roy variation.
The Improved Sazerac,N/A,,"1.5 oz H by HINE, .25 oz Luxardo Maraschino Liqueur, .5 tsp Simple Syrup (1:1), 3 dash Peychaud's Bitters, 1 dash Angostura Bitters,  rinse Vieux Pontarlier Absinthe Francaise Superieure",Put ingredients in mixing glass. Stir. Strain into glass that has absinthe rinse. Add lemon zest.,
The Inside Job,Old Fashioned Glass,,"2 oz Bourbon, .25 oz Luxardo Maraschino Liqueur, .5 oz Simple Syrup, 1 dash Angostura Bitters, 1 dash Vieux Pontarlier Absinthe Francaise Superieure","Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into an old fashioned glass filled with fresh ice. Garnish with a Luxardo Cherry and an orange slice or twist.",Photo credit: liquor.com
The Italian Diplomat,Nick & Nora,,"1 oz Luxardo Bitter Bianco, 1.5 oz BarSol Primero Quebranta Pisco, .25 oz Bay Leaf Syrup*, 2 dash Salt Tincture**","Combine all ingredients in mixing glass. Stir and strain into Nick & Nora cocktail glass. Garnish with lemon zest and yerba mate tea sachet.

*Bay Leaf Syrup:
-- 16 oz Water
-- 12 Bay Leaves
-- 1.5 C White Sugar

Bring water to boil with bay leaves. Lower heat to medium and simmer 15-20 mins. Stir in white sugar until dissolved, without bringing to a boil again. Remove from heat, let cool at room temperature. Remove bay leaves and enjoy.

**Salt Tincture:
-- .5 C Salt
-- 1 C Water
-- 2 C 100p Vodka

Stir salt with water and vodka. Stir until dissolved. Strain out extra salt, if any.",
The King and Tonic,Collins,,"1.5 oz King's Ginger Liqueur, 3 oz Fever-Tree Tonic Water, 1 dash Angostura Bitters",Serve over ice in a collins glass.,
The King Merlet Sidecar,N/A,,"1.5 oz H by HINE, .5 oz Luxardo Triplum (Triple Sec), .5 oz King's Ginger Liqueur, .5 oz Fresh Lemon Juice, 1 oz Pressed Apple Juice",Shake all ingredients with ice and strain into an iced up glass with brown sugar rim.,
The King's Autumn Cobbler,N/A,,"1 oz King's Ginger Liqueur, .25 oz Briottet Creme de Mure (Blackberry),  top Pear Cider",Add all ingredients over ice. Stir with a barspoon. Squeeze lemon wedges and add blackberries.,
The King's Cranberry Sauce,N/A,,"1 pkg, 14 oz Cranberries, 1.5 c Brown Sugar, .5 c Orange Juice, .3 c King's Ginger Liqueur, 8 whole Pepper Corns, 6  Allspice Berries, 5  Cloves, 1 stick, 2 in Cinnamon","Heat cranberries, sugar, OJ and King's Ginger over medium heat. Place the peppercorns, allspice, cloves and cinnamon in a piece of cheesecloth with the end tied. Add to pot. Cook stirring often until cranberries soften about 25 to 30 min. Refrigerate for 1 hour before serving.",
The King's Egg Nog,Goblet,,"1 oz No.3 London Dry Gin, .5 oz King's Ginger Liqueur, .25 oz English Harbour Rum, 3 spoon Sugar, 1 whole Egg, .5 oz Milk, .5 oz Cream",Dry shake and then shake with hand cracked ice. Serve in a goblet with grated nutmeg.,
The King's Froth & Frizz,Champagne Flute,,"1 oz BarSol Selecto Italia Pisco, 1.25 oz King's Ginger Liqueur, .5 oz Peach Brandy, .5 oz Lemon juice, .5 oz Egg white","Dry shake, then shake with ice. Double strain into flute or sour glass. Top with a Saison.

Zest orange over top and garnish with a star anise.
",
The King's Ginger Spiced Punch,Punch Bowl,,"25 oz King's Ginger Liqueur, 37.5 oz Cranberry Juice, 37.5 oz Fever-Tree Lemonade",Add all ingredients into a punch bowl or pitcher and stir. Add lemon wheels and strawberries to garnish.,
The King's Ginger Summer Cup,N/A,,"1 oz King's Ginger Liqueur, 1.5 oz Cranberry Juice, 1.5 oz Fever-Tree Lemonade",Build in a glass over ice. Add lemon wheels and strawberries. Finish with a splash of fresh lemon or top up with some sparkling wine. This drink can also be made in jugs or punch bowls.,
The King's Ginger Truffles ,N/A,,"1 1/2 cups Good quality dark chocolate, 1 cup Double cream, 5 Tbsp The King's Ginger, 1 tsp Finely chopped drained stem ginger in syrup",,
The King's Medicine,Coupe,,"1.5 oz King's Ginger Liqueur, .5 oz Luxardo Fernet, .25 oz BenRiach Curiositas Single Malt 10 YO, .75 oz Lemon Juice","Add all ingredients into a shaker with ice, shake furiously. Fine strain into chilled coupe. Garnish with a lemon twist.",
The King's Mulled Cider,Handled Glass,,"2 oz King's Ginger Liqueur, 5 oz Hard Apple Cider, 5 oz Fresh Apple Juice","Serve in a handled glass, hot or over ice. Garnish with lemon, cinnamon stick and fresh blackberries.",
The King's Mulled Wine,N/A,,"1 bottle Red Wine, .3 bottle King's Ginger Liqueur, 3 Tbsp Caster Sugar, 2  Lemons, zested (plus flesh of one lemon), 1  Orange, zested, 1 stick Cinnamon, 1 dash Nutmeg, 1  Star Anise","Simmer over low heat for 3 hours, double strain with fine sieve.",
The King's Queen,Collins,,"50 ml King's Ginger Liqueur, 25 ml Fresh lime, 1 slice Fresh ginger, 4 strawberries Strawberries(muddled)",Serve in a tall glass over ice.,
The King's Spring Daisy,N/A,,"1 oz King's Ginger Liqueur, 1 oz H by HINE, .25 oz Lemon juice, .25 oz Simple syrup, 2 dash Fee Brothers Rhubard bitters",Add all ingredients into a cocktail shaker. Shake and double strain into a glass. Garnish with a sprig of mint.,
The King's Squeeze,N/A,,"35 ml King's Ginger Liqueur, 125 ml Fever-Tree Bitter Lemon","Build in ice-filled tall glass, garnish with a squeeze of lime.",
The King's Winter Cup,N/A,,"1.5 oz King's Ginger Liqueur, 1 oz Fresh pressed Apple Cider, 4 oz Hard Apple Cider, 1 stick Cinnamon stick",Method:  Simmer on a gentle heat for 30 minutes and garnish with a cinnamon stick,
The Kings Mule,Champagne Flute,,"1 oz King's Ginger Liqueur, 3 dash Orange Bitters, 5 oz Sparkling Wine","Place King's Ginger and orange bitters in a Champagne flute, and top with sparkling wine. No garnish.",Featured on The Tales of the Cocktail 2016 Carousel Bar Menu
