Cocktail Name,Glass,strIBA,Ingredients,Instructions
Long Division,Champagne Flute,,"1.5 oz Tequila, 1 oz Luxardo Maraschino Liqueur, .5 oz Aperol, .25 oz Lime Juice",Shake. Serve up. Top with sparkling rose. Garnish with lime peel.
Long Island Limoncello Martini,N/A,,"1 oz Hangar 1 Buddha's Hand Citron Vodka, 1 oz Luxardo Limoncello, .75 oz Fresh Lemon Juice, .25 oz Monin Cane Syrup",Served up and finished with a lemon wheel.
Lost at Sea,Collins,,"2 oz King's Ginger Liqueur, 1 oz Lime juice, .5 oz Cane sugar syrup, 2 oz Club soda","Muddle basil in mixing glass, add all ingredients except club soda. Shake and strain into a collins glass, top with club soda.  Top with crushed ice and garnish with a basil sprig."
Lovage In The Garden,Rocks Glass,,"2 oz Hophead Vodka, 3  Sun Gold Cherry Tomatoes, 4  Lovage Leaves, .75 oz Lime Juice, .5 oz Agave Syrup (1:1 agave to water), .5 oz Luxardo Aperitivo, 1 pinch Hepps Ghost Pepper Salt",Muddle everything in a tin except Hophead. Then add Hophead and ice and shake and strain into a rocks glass with ice and garnish with a lovage sprig.
Lux Cherry Sparkler,Champagne Flute,,"1 oz Luxardo Sangue Morlacco Cherry Liqueur, 4 oz Prosecco","Add the Cherry Liqueur to a flute, top with Prosecco, and garnish with a Luxardo Maraschino Cherry."
Lux Japanese Lemonade,Copita Glass,,"1.5 oz No.3 London Dry Gin, .5 oz Jummai Ginjo Sake, .25 oz Luxardo Limoncello, .25 oz Dill Cordial, .5 oz Meyer Lemon Juice, .25 oz Yuzu Juice, .5 oz Fresh egg White","Dry Shake, add ice and shake for 10 seconds. Double strain into a Copita Glass. Garnish with Dill."
Lux Orchard Lemonade,N/A,,".75 oz Luxardo Maraschino Liqueur, .5 oz Junipero Gin, .75 oz Monin Apple Puree, .25 oz Lemon Juice, 1 dash Fennel Bitters",Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain over fresh ice. Garnish with Luxardo Cherry.
Lux Shandy,Highball Glass,,"1 oz Luxardo Aperitivo, .5 oz Lemon Juice, .5 oz Orange Juice, .5 oz Simple Syrup,  top Anchor California Lager",Add all ingredients to a mixing glass. Add ice and integration shake. Pour over fresh ice into a highball and top with California Lager. Garnish with a half orange wheel.
Luxardo Fresco,Wine Glass,,"1.5 oz Luxardo Maraschino Liqueur, 1 strip Cucumber, 1 dash Lemon Juice,  top Tonic",Quick stir and garnish with rosemary.
Luxardo Ice Cream Float,Lowball Glass,,"1 oz Luxardo Cherry Syrup (from jar of cherries), 1 scoop Vanilla Ice Cream,  top Soda Water","Build syrup and ice cream in a lowball cocktail glass, and top with soda water. Serve with a metal straw, a spoon, and garnish with a Luxardo Maraschino Cherry."
Luxardo Maraschino Simple Spritz,N/A,,".5 oz Luxardo Maraschino Liqueur, .5 oz Squeeze of Lime , 3 oz Italian Sparkling Water","Build over ice, stir lightly, and garnish with a lime twist and a Luxardo Cherry."
Luxardo Sling,Tumbler,,".25 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz No.3 London Dry Gin, .25 oz Grapefruit Juice, 1 fill Soda water","Shake well in a shaker, serve in a tumbler filled with ice. Top with soda water."
Luxardo Sour,Old Fashioned Glass,,"1.25 oz Luxardo Amaretto di Saschira, 1 oz Rye Whiskey, 1 oz Lemon Juice, .75 oz Angostura Bitters, 1  Egg White",Dry shake all ingredients for 20-30 seconds. Then shake with ice. Double strain over fresh ice in an old fashioned glass. Garnish with wide lemon swath.
Malibu Twister,Highball glass,,"Malibu rum,Tropicana,Cranberry juice","Add rum & trister then, add cranberry jucie,stir"
Mandrake,Coupe,,"1.5 oz BarSol Primero Quebranta Pisco, 1 oz BarSol Perfecto Amor (Aperitif Wine), .25 oz Leopold Bros. Bitter, .25 oz Velvet Falernum,   Red Hawaiian Salt","Barrel aged in a used bourbon barrel that previously held a cocktail containing Hine Cognac and Luxardo Bitter.

Stir with ice and strain into a small coupe. Garnish with an orange twist."
Manhattan,Cocktail glass,Unforgettables,"Sweet Vermouth,Bourbon,Angostura bitters,Ice,Maraschino cherry,Orange peel","Stirred over ice, strained into a chilled glass, garnished, and served up."
Manhattan,Old Fashioned Glass,,"2 oz Rye or Bourbon Whiskey, 1 oz Tempus Fugit Spirits Alessio Vermouth di Torino, 2 dash Tempus Fugit Abbott's Bitters",Stir and strain. Garnish with a Luxardo Maraschino Cherry.
Maraschino Side Car,N/A,,".75 oz Luxardo Maraschino Liqueur, .25 oz Dry Curacao, .5 oz Bourbon Rye, .25 oz Lemon Juice",Add ingredients in a mixing glass with fresh ice. Shake vigorously strain over fresh ice. Garnish with lemon peel to fit in glass and 1 dash of Abbott's Aromatic Bitters. Optional sugar rim.
Marchesa,Old Fashioned Glass,,"30 ml Luxardo Maraschino Liqueur, 20 ml Bitter, 20 ml Luxardo Sangue Morlacco Cherry Liqueur, 20 ml Bourbon, 2 dash Chocolate Bitters",Prepare directly in an old fashioned glass.
Maria Canevari Punch,N/A,,".5 oz Luxardo Maraschino Liqueur, .75 oz Luxardo Apricot Liqueur, 1 oz Fresh Lemon Juice, .25 oz Simple Syrup, 1 oz Perfect Puree White Peach, 3 oz Soda Water",Mix all ingredients together.
Martinez,Coupe,,"1.5 oz Old Tom Gin, 1.5 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .25 oz Luxardo Maraschino Liqueur, 2 dash Tempus Fugit Abbott's Bitters","Add all ingredients to a shaker and fill with ice. Shake, and strain into a chilled coupe glass."
Martinez,Cocktail Glass,,"2 oz Old Tom Gin, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .25 oz Luxardo Maraschino Liqueur, 2 dash Orange Bitters","Combine ingredients in an ice-filled mixing glass and stir for 20 to 30 seconds, or until well chilled. Strain into a chilled cocktail glass and garnish with the lemon peel."
Martinez Cocktail,Cocktail glass,,"Gin,Dry Vermouth,Triple sec,Orange bitters,Cherry",Stir all ingredients (except cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.
Martini,Cocktail glass,Unforgettables,"Gin,Dry Vermouth,Olive","Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
Mary Pickford,Cocktail glass,Unforgettables,"Light rum,Pineapple juice,Maraschino liqueur,Grenadine,Maraschino cherry",Shake and strain into a chilled large cocktail glass
Masataka's Vision,N/A,,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .5 oz Luxardo Amaro Abano, 3 dash House-made Rasta Bitters",Muddle orange twist with sugar. Add ice. Pour ingredients over ice. Add bitters
Mauritian Buck,Rocks Glass,,"40 ml Pink Pigeon Rum, 40 ml Pressed apple juice,   Ginger ale,   Absinthe,   Lemon zest","Spray a rocks glass with absinthe, build all other ingredients over cubed ice, garnish with a lemon wheel."
Mauritian Made,Rocks Glass,,"1.5 oz Pink Pigeon Rum, .75 oz Darjeeling simple syrup, 1 oz Lime juice",Garnish: mint and lime wheel
Mauritius Sour,Coupe,,".75 oz Pink Pigeon Rum, .75 oz Hirsch Small Batch Reserve Bourbon, .5 oz Angostura Bitters, .75 oz Lemon Juice, .75 oz Simple Syrup","Shake, and fine strain into a chilled coupe, and garnish with a Luxardo Cherry."
Mayahuel's Revenge,Coupe,,"1.5 oz Chinaco Blanco Tequila, 1 oz Vermut Vermouth, .5 oz Giffard Banane du Brésil, 3 dash Bittercube Jamaican #2 Bitters",Stir in a mixing glass to chill down and serve up in a coupe with a lemon zest garnish.
Mayan Decadence,Bucket,,"1.75 oz Chinaco Anejo Tequila, .5 oz Xtabentun Liqueur (honey, anis), 3 dash Bittermens Xocolatl Mole Bitters, 3 dash Fee Brothers Aztec Chocolate Bitters","In a pint glass pour all the ingredients, stir and strain into a bucket glass 3/4 full of ice and garnish with an orange peel."
Mayan Mule,N/A,,".5 oz King's Ginger Liqueur, .5 oz Ancho Reyes Chile Liqueur, .5 oz Montelobos Mezcal, .5 oz Aviation Gin, .5 oz Grapefruit Juice, .5 oz Lime Juice, 2 dash Bittercube Bitters Jamaican #2, 2 oz Fever-Tree Ginger Beer","Shake all ingredients. Strain and top with ginger beer. Give it a quick stir. 

Tajin ground ginger and salt rim."
Mayan Sacrifice Champagne Cocktail,N/A,,".5 oz Chinaco Blanco Tequila, .5 oz D'Aristi Xtabentun Honey Liqueur","Fill Chinaco stemmed flute with prosecco, cava or other dry sparkling.
Garnish with Luxardo Cherry pinned inside of lemon peel and rested across rim.
The cherry garnish which will be EVER so delicately laid across the top of the glass, should flame in my opinion. You can dip the in high-proof spirits and light it up!
"
Mean Martinez,Nick & Nora,,"1.5 oz Old Tom Gin, 1 oz Lustau East India Solera, .5 oz Grand Poppy Liqueur",Stir over ice and strain into a Nick and Nora glass.
Merry Sherry Cobbler,N/A,,"1.5 oz Christmas Spirit, 1 oz Oloroso Sherry, .25 oz Walnut Liqueur, 3 dash Regans' Orange Bitters, 3 dash Pear Bitters","Mix ingredients together then pour over crushed ice into a Julep tin. Dust with salt, sugar, and cinnamon."
Mexican Sazerac,Old Fashioned Glass,,"2 oz Chinaco Reposado Tequila, .75 oz D'Aristi Xtabentun Honey Liqueur, 3 dash Peychaud's Bitters",Ice: Large block or spherical
Mexico Mule,Julep Cup,,"1 oz Montelobos Mezcal, .67 oz King's Ginger Liqueur, .5 oz Fresh Lime Juice, 3 oz Apple Cider, .5 oz Monin French Raspberry Syrup","Chill cup and place a napkin around it. In the base of the cup put everything except the cider and the raspberry syrup and give a brief stir. Add some crushed ice. Stir vigorously. Top with crushed ice. Add cider. Pour raspberry syrup on top. Garnish with cinnamon quill as a stirrer, some small flowers, and a lime wheel."
Mezcal Witch,Coupe,,"2 oz Mezcal, .75 oz Lime, .75 oz Strega, .75 oz Simple Syrup, 3-4  Cucumbers muddled, 3-4  Mint leaves, 1 pinch Salt","shake/2xstrain/coupe

garnish cucumber slice"
Miami Vice,Cocktail glass,,"151 proof rum,Pina colada mix,Daiquiri mix","First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together)."
Midnight Mint,Cocktail glass,,"Bailey's irish cream,White Creme de Menthe,Cream","If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass."
Mille Miglia,Nick & Nora,,".75 oz Luxardo Maraschino Liqueur, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, 1  Basil Leaf, .25 oz Lime Juice, 5 dash Rose Water","Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with lime pinwheel and bing cherry.
"
Mint Garden,N/A,,"1.5 oz Chinaco Reposado Tequila, .5 oz Luxardo Triplum (Triple Sec), .75 oz Fresh grapefruit juice, .5 oz Lemon juice, .5 oz Simple syrup, 4 pieces Red bell pepper, 4 oz Mint sprigs","Muddle red pepper and mint. Add all other ingredients. Shake well over ice and strain into a chilled martini glass.
Garnish with red pepper slice and mint sprig."
Mister Gingy,Collins,,"1 oz King's Ginger Liqueur, 1 oz Glenrothes Vintage Reserve, .75 oz Pineapple Gum, .75 oz Lemon Juice, 2 dash Angostura Bitters",Whip / Dump / Crushed
Miyagikyo Kick,Coupe,,"1.5 oz Nikka Whisky Miyagikyo Single Malt 12 YO, .75 oz Rare Wine Co. Charleston Sercial Madeira, .75 oz Fresh lime juice, .625 oz Small Hands Food orgeat","Combine ingredients into a cocktail shaker. 
Shake with ice vigorously for 10-15 seconds. 
Strain into a chilled coupe glass. No garnish."
Mojito,Highball glass,Contemporary Classics,"Light rum,Lime,Sugar,Mint,Soda water",Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
Mojito #3,Collins glass,,"Mint,Lemon juice,Dark rum,Club soda,Angostura bitters","Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura."
Monet,Coupe,,"1.75 oz H by HINE, 1 oz BenRiach Madeira 15 YO, .5 oz Lemon Juice, .25 oz Briottet Creme de Banane, .25 oz Small Hand Foods Pineapple Gum Syrup","Shake, fine strain into a chilled coupe. Garnish with lemon twist."
Monkey Gland,N/A,,"2 oz No.3 London Dry Gin, 1 oz Orange juice, .25 oz Grenadine, 1 dash Duplais Swiss Absinthe Blanche",Shaken and strained. Orange peel garnish.
Morlacco Julep,N/A,,"1.25 oz Brandy de Jerez, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, 4 sprigs Mint, 1 float Luxardo Amaretto di Saschira","Place the mint in a tumbler glass and muddle briskly to release the essential oils, then add the cherry liqueur and the brandy. Fill up the glass with crushed ice, stir well and serve with a float of Luxardo Amaretto. Garnish with 4 sprigs of mint and 3 Luxardo Cherries."
Mott and Mulberry,Rocks Glass,,"1 oz Luxardo Amaro Abano, 1 oz Old Overholt Rye, .5 oz Demerara Simple Syrup (1:1), .5 oz Lemon Juice, .75 oz Fuji Apple Cider",Shaker and strain into a rocks glass with fresh ice. Garnish with an Apple Fan.
Muddled Mission,Coupe,,"1.5 oz Junipero Gin, 1 oz St. Germain, .25 oz Yellow Chartreuse, .75 oz Lemon Juice, 1  Strawberry","In a shaker, gently muddle the strawberry. Add the remaining ingredients and shake with ice. Strain into a coupe. Garnish with strawberry."
Mule Pigeon,Highball Glass,,"40 ml Pink Pigeon Rum, 2 dash Angostura Bitters,  top Ginger Beer","Add cubed ice to a highball, add 2 dashes of Angostura Bitters, top with ginger beer, garnish with a sprig of basil."
Mystique Green (Adapted),N/A,,"1.5 oz No.3 London Dry Gin, .75 oz Luxardo Triplum (Triple Sec), .75 oz Elderflower Liqueur, 1 oz Fresh lime juice, .5  Kiwi",Muddle the kiwi pulp with lime juice in a shaker tin. Add ice and liquors and shake vigorously. Strain into a chilled cocktail glass.
Nara Mule,Highball Glass,,"2  Kumquats, 2  Lychee, 2 oz Bulleit Rye, 1 oz King's Ginger Liqueur, .75 oz Fresh Lemon Juice, .5 oz Simple Syrup, .5 oz Egg White, .5 oz Fever Tree Ginger Beer","Muddle the kumquats and lychee in a cocktail shaker. Add the whiskey, King's Ginger, lemon juice, syrup and white egg, and shake very hard. Double strain into a highball glass filled with ice spheres."
Naughty Nikka,Old Fashioned Glass,,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, 1 oz Fresh Ginger Syrup, 1 slice Orange slice, 1 dash Chinese Five Spice Bitters","Muddle Orange Slice. Add Nikka. Add Ginger Syrup. Stir over Ice. Add bitters. 
"
Negroni,Old Fashioned Glass,,"1 oz No.3 London Dry Gin, 1 oz Campari, 1 oz Martini & Rossi Sweet Vermouth",Build the cocktail in a mixing glass. Stir for about 15 seconds and then strain over ice into a old fashioned glass.
Negroni,Rocks Glass,,"1 oz No.3 London Dry Gin, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 1 oz Luxardo Bitter","Pour all ingredients into an ice-filled old-fashioned glass, and stir approximately 20 seconds. Add garnish."
Negroni D'Amore,Old Fashioned Glass,,"1.5 oz Old Tom Gin, 1 oz Barolo Chinato, 1 oz Tempus Fugit Kina L'Aero d'Or","Combine ingredients in an old fashioned glass filled with ice, stir to combine, and garnish with orange peel."
Negroni Sorbetto,Coupe,,".5 oz Junipero Gin, .5 oz Luxardo Bitter, .5 oz Tempus Fugit Alessio Vermouth Bianco, .5 oz Dry Vermouth, 1 scoop Orange Sorbet, 2 drops Bittermens Orange Cream Citrate",Whisk ingredients in birdie (or tin). Pour into coupe glass and top with Prosecco (1 oz). Garnish with dehydrated orange wheel. Spray orange flower from atomizer.
Neighborhood Negroni,Cocktail Glass,,"1 oz Junipero Gin, 1 oz Campari, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso",Add all the ingredients to a mixing glass and fill with ice. Stir until well chilled and strain into a chilled cocktail glass. Garnish with a flamed orange twist.
Neko Colada,Tiki Cat Glass,,"1 oz Miso washed White Rhum Agricole, 1 oz Cocchi Vermouth di Torino, .75 oz Falernum, .75 oz Coconut Cream, .25 oz Luxardo Amaretto di Saschira, .75 oz Lime, .5 oz Mandarin Orange",Shake and strain into a tiki cat filled with crushed ice.
Nellie Fer' Toddy,Irish Coffee Mug,,"1 oz Blended Scotch, 1 oz King's Ginger Liqueur, .5 oz The Genuine Curacao Liqueur Orange, .75 oz Fresh Lemon Juice,  top Hot Water, 1 dash Peychaud's Bitters",Build then pour into a pre-heated Irish coffee glass or mug. Top with hot water. Garnish with the orange slice and add a dash of Peychaud's Bitters.
New York Lemonade,Cocktail glass,,"Absolut Citron,Grand Marnier,Lemon juice,Club soda",Serve in a chilled cocktail glass. Lemon and sugar the rim. Stir and Strain.
Newton's Theory,Coupe,,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .75 oz C. Drouin Pommeau de Normandie, .25 oz Luxardo Maraschino Liqueur, 4 dash Black Walnut Bitters","Combine all ingredients into a mixing glass and add ice. Stir for about 10 seconds and then strain into a chilled cocktail coupe. Garnish with skewered apple spheres and be thankful you're having a cocktail, and not having an apple shot off your head."
Nieux Carré,Old Fashioned Glass,,"1.5 oz Karlsson's Gold Vodka, .75 oz Gran Duque d Alba Solera gran Reserva brandy, .75 oz Carpano Antica Vermouth, .25 oz Benedictine, 1 tincture Peychaud's Bitters, 1 tincture Angostura bitters","Combine all liquid ingredients in a chilled mixing glass with cracked ice and stir for 20 seconds.
Double strain the cocktail over a large cube placed in an old-fashioned glass.
Garnish with a lemon twist making sure to release all the essential oils out of the twist. Also make sure to rub the entire rim of the glass with the twist before dropping it into the cocktail."
Nigamono,Double Old Fashioned Glass,,"2 oz Nikka Coffey Grain Whisky, .75 oz Maurin Quina, .75 oz Luxardo Amaro Abano",Stir. Use large ice cube.
Nikka Coffey Grain Perfect Manhattan,Cocktail Glass,,"2 oz Nikka Coffey Grain Whisky, .5 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .5 oz Dolin Vermouth, 2 dash Tempus Fugit Abbott's Bitters","In mixing glass or cocktail shaker filled with ice, combine whiskey, vermouth, and bitters. Stir well, about 20 seconds, then strain into cocktail glass. Add cherry and serve."
Nikka Coffey Malt Old Fashioned,Old Fashioned Glass,,"2.5 oz Nikka Coffey Malt Whisky, .5 oz Demerara Syrup, 4 dash Tempus Fugit Abbott's Bitters","In an old fashioned glass, muddle the lemon peel with the bitters and demerara syrup, just enough to bruise the peel and release its oils. Add Coffey Malt and ice, and stir for 20 to 30 seconds, or until well chilled."
Nikka Earl Grey,Rocks Glass,,"2.5 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .5 oz Honey, .5 oz Earl Grey Syrup,   Smoked Malt",Stir over ice and serve in a rocks glass.
No.3 & T,Rocks Glass,,"1.5 oz No.3 London Dry Gin, 1 lemon Lemon, 1 fill Tonic water",Pour No.3 gin into a highball glass over ice cubes. Add a slice of lemon and stir. Top up with tonic water to taste.
No.3 Bramble,Rocks Glass,,"1.5 oz No.3 London Dry Gin, .5 oz Fresh Lemon Juice, .5 oz Briottet Creme de Mure (Blackberry), .25 oz Pages Elderflower Syrup, 1 dash Angostura bitters (optional)",Shake all ingredients well in cocktail shaker. Strain into ice filled rock glass. Top with soda.
No.3 Negroni,N/A,,"1 oz No.3 London Dry Gin, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 1 oz Luxardo Bitter",Mix all the liquid contents together in a heavy-bottomed tumbler with ice. Stir. Add a slice of orange and lemon zest to decorate.
Nola '75,Champagne Flute,,"1.25 oz Junipero Gin, .5 oz Pages Elderflower Syrup, .5 oz Fresh Lemon Juice,  oz Champagne (Sparkling Wine)","Shake first three ingredients in an ice-filled cocktail shaker. Strain into a chilled serving glass. Top with chilled champagne, or sparkling wine."
Nuestra Julep,N/A,,"1 oz High West Oat Whisky, .5 oz King's Ginger Liqueur, .5 oz Peach Shrub, .75 oz Lime, 1 dash Angostura Bitters, 1 dash Grapefruit Bitters",Add all ingredients together.
Oaxacan Martini,Coupe,,"2 oz Mezcal, .5 oz Mandarine Napoleon, .5 oz Lime Juice, 1 oz Castelvetrano Olive Brine, 3 dash Fennel Bitters",Shake all ingredients for 10-15 seconds (over shaking will over dilute) and fine strain into chilled coupe glass. Garnish with Xoconostle (sour prickly pear) and a stuffed Castelvetrano olive.
Obituary Cocktail,N/A,,".25 oz Mansinthe Absinthe, 2 oz Genevieve Gin, .25 oz Tempus Fugit Alessio Extra Dry Vermouth",Stir with ice. Strain into a cocktail glass.
Ode to Kinshi,Coupe,,"1.5 oz Nikka Whisky Yoichi Single Malt 15 YO, .75 oz Cocchi Americano Rosa, .5 oz Luxardo Amaro Abano, 5 dash Bittermens Xocolatl Mole Bitters",Place all ingredients into a Yarai mixing glass with ice and stir. Strain into a coupe. Garnish with an apple slice.
Off the Radar,Collins,,"1.5 oz Junipero Gin, .5 oz Lemon Juice, .25 oz Luxardo Maraschino Liqueur, .25 oz Liqueur de Violette, 3-4 oz Tonic Water","Add gin, lemon juice, maraschino liqueur, and liqueur de violette to a collins glass filled with ice. Add tonic water; stir to combine. Garnish with a lemon wheel."
Old Fashioned,Old-fashioned glass,Unforgettables,"Bourbon,Angostura bitters,Sugar,Water","Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry."
Old Tom and The Sea,N/A,,"1.5 oz Old Tom Gin, 1 oz Tempus Fugit Alessio Vermouth Bianco, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Lemon Juice","Combine the ingredients. Shake and strain over ice. Lemon and/or cherry flag garnish.

Add soda water if you'd like to water it down."
On the Flipside,Coupe,,"1.5 oz Pink Pigeon Rum, 1 oz Lime juice, .75 oz Simple syrup, 2  Mint leaves, muddled, 3  Cucumber slices, muddled",Muddle 3-4 cucumber slices and a couple mint leaves. Shake and strain into martini or coupe glass. Garnish with lime or mint or cucumber.
On the Wings of Eagles,Rocks Glass,,"1.5 oz H by HINE, .75 oz Rye Whiskey, .75 oz Green Chartreuse, 2 dash Lemon Bitters, 1 splash Fernet-Branca","Add cognac, rye, Chartreuse and bitters to a mixing glass with ice, and stir until cold. Add splash of fernet to a rocks glass, roll the glass to coat the sides, and discard the excess. Add one large ice cube to the glass, strain the drink over the cube, and garnish with a mint sprig."
Orange Batida,N/A,,"2 1/2 oz Orange Juice, 1 1/2 oz Ypiòca, 1-2 Tbsp Sugar","Put 1 1/2 ounces, 2 1/2 ounces orange juice, and 1-2 tablespoons of sugar in a shaker. Add ice cubes and shake for a few seconds. Put in glass and serve."
Orange Crush,Rocks Glass,,2.5 oz Glenrothes Vintage Reserve,Pour over crushed ice with zest. Garnish with an orange peel.
Orchard Malt Mule,Collins,,"2 oz Glenrothes Vintage Reserve, .25 oz St. Elizabeth Allspice Dram, 1 oz Apple Cider, .5 oz Belle Brillet, .5 oz Lemon, 2 dash Angostura Bitters, 2 oz Ginger Beer",Shake and 2x strain into a collins glass. Garnish with a lemon wheel and Luxardo Cherry.
P.T. Barnum Cocktail,Martini,,"1.5 oz No.3 London Dry Gin, .5 oz Luxardo Apricot Liqueur, .5 oz Fresh Lemon Juice , 1 dash Angostura bitters",Shake all ingredients well in cocktail shaker. Strain into chilled martini glass or cocktail coupe.
Pacific Breeze,Collins,,"1.5 oz Luxardo Triplum (Triple Sec), .75 oz Watermelon Liqueur, 3 oz Cranberry juice,  oz Fresh lime sweet n' sour mix",Pour all ingredients in a shaker with ice. Shake and strain over ice into a Collins or Pilsner glass.
Pacific Kick,Old Fashioned Glass,,"1 oz Japanese Whisky, 3 oz Amaro Angeleno, 1 oz Luxardo Orgeat Syrup, 1 oz Lemon Juice",Fill shaker with ingredients and ice. Shake. Strain into old fashioned or rocks glass filled with ice.
Padova Collins,N/A,,"1.5 oz Pear flavored Vodka, .75 oz Luxardo Limoncello, .25 oz Luxardo Sambuca dei Cesari, 1.5 oz Fresh sweet n' sour mix, 2 oz Lemon lime soda",Shake the first four ingredients with ice then strain into a tall glass filled with ice and top with lemon lime soda. Stir and serve.
Palais Royal,Wine Glass,,"3 oz Champagne, 1 oz H by HINE, .33 oz Cherry Brandy, 1 tsp Lemon Juice",Pour ingredients into a wine glass half-filled with crushed ice. Garnish with a half-slice of lemon and a maraschino cherry.
Palermo Breeze,Collins,,"1.5 oz Luxardo Bitter Bianco, .5 oz Velvet Falernum, .5 oz Lime, .5 oz Passion Fruit Syrup, 2 oz Belstar Sparkling Rose",Shake first 4 ingredients and strain into collins. Top with pebble ice. Top with the rose. Garnish with a basil and a lime flower for aromatics.
Pants off Dance off,N/A,,".75 oz BarSol Perfecto Amor (Aperitif Wine), .5 oz Lime Juice, 1 oz Junipero Gin, .5 oz Grenadine, 1 dash Angostura Bitters, 1 drop Bittermens Burlesque Bitters",Shake and top with Anchor Steam.
Paradiso Sun,Nick & Nora,,"1.5 oz Junipero Gin, 1 oz Lime Sour, .5 oz Orange Juice, .25 oz Dry Curacao",Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with orange slice and 1 bar spoon juniper berries.
Parisian Manhattan,Old Fashioned Glass,,"2 oz H by HINE, 1 oz Cocchi Americano Rosa, 1 dash Angostura Bitters, 3 drops Bittercube Cherry Bark Vanilla Bitters",Stir and pour over ice in an old fashioned glass. Garnish with an orange peel.
Party in the Agave Fields,N/A,,"2 oz Mezcal, .75 oz Luxardo Triplum (Triple Sec), .75 oz Luxardo Amaro Abano, 3 dash Tempus Fugit Abbott's Bitters",Stir over 1 large rock. Garnish with zest of an orange peel.
Passion Fruit Batida,N/A,,"1-2 Tbsp Sugar, 1 1/2 oz Ypiòca,   Passion fruit","Put 1/2 passion fruit inner part in a blender, 1-2 tablespoons of sugar and 50ml ( 1 1/2 ounces) of Ypiòca. Mix for a few seconds. Filter in a glass and serve with ice."
Passionate Pigeon ,Collins,,"50 ml Pink Pigeon Rum, 50 ml Lychee juice, .5  Lime, juiced, 1  Passion fruit, 1 float Ginger beer","In a mixing glass, combine Pink Pigeon Rum, Lychee Juice and the juice from 1/2 a lime. Add the pulp of one passion fruit (to prep passion fruit: cut in half, setting aside a small slice for garnish and scoop out the pulp and drop both the pulp and peel into the glass). Add ice and shake vigorously. Pour in a tall glass over ice, top with ginger beer.  Garnish with the passion fruit wedge to serve."
PB&K Old Fashioned,Rocks Glass,,"1 oz Karlsson's Gold Vodka, 1 oz Cognac, .5 oz Benedictine, 1 tincture Angostura Bitters, 1 tincture Peychaud's Bitters, 1 pc Lemon Twist, 1 pc Orange Twist,   Peanut Butter Powder",Wet half of the rim of a 13 oz. rocks glass with Benedictine. Shake off the excess Benedictine to avoid clumping on the rim and dip it into the peanut butter powder. Flick the glass to shake the excess powder off. Place the glass in a cooler to chill the glass. In a frozen mixing glass combine all liquid ingredients with equal parts cracked ice and whole hard ice. Stir the cocktail for 45 seconds. Remove the glass from the cooler and place a 2 in. hard ice cube in it. Double strain the cocktail into the glass. Spritz the cocktail with both of the twists. Make sure to release all the essential oils into the cocktail. Discard the twists.
PDA,N/A,,"1.5 oz New York Apple Whiskey, 1 oz King's Ginger Liqueur, .75 oz Lemon, .5 oz Lemongrass ginger syrup, .5 oz Egg white","Muddled ginger root. Shaken, served up, cinnamon stick and apple to garnish."
Peace Daiquiri,Coupe,,"1.5 oz Pink Pigeon Rum, .5 oz Luxardo Maraschino Liqueur, .75 oz Fresh Lime Juice, .5 oz Simple Syrup, .5 oz Fresh Grapefruit Juice","Add all ingredients into shaking tin. Add ice cubes to tin. Shake vigorously and strain into coupe. Garnish with Luxardo Maraschino Cherry.
"
